"Date","Price","Open","High","Low","Change %"
"Apr 16, 2008","200.87","199.87","201.01","199.09","0.45%"
"Apr 15, 2008","199.97","199.79","200.34","198.43","-0.03%"
"Apr 14, 2008","200.04","199.08","200.82","198.02","0.53%"
"Apr 11, 2008","198.99","200.56","201.97","198.40","-0.87%"
"Apr 10, 2008","200.73","200.85","201.30","198.01","-0.14%"
"Apr 09, 2008","201.01","201.82","202.61","200.52","-0.48%"
"Apr 08, 2008","201.98","203.52","204.16","201.06","-0.80%"
"Apr 07, 2008","203.60","202.85","204.49","202.32","0.62%"
"Apr 04, 2008","202.35","204.10","205.18","202.12","-0.90%"
"Apr 03, 2008","204.19","203.37","204.61","202.60","0.40%"
"Apr 02, 2008","203.37","201.16","204.06","200.80","1.06%"
"Apr 01, 2008","201.23","198.07","201.74","196.97","1.54%"
"Mar 31, 2008","198.17","197.46","200.12","196.78","0.24%"
"Mar 28, 2008","197.70","199.89","200.51","197.49","-1.26%"
"Mar 27, 2008","200.23","198.71","201.77","197.71","0.74%"
"Mar 26, 2008","198.76","200.36","201.08","197.52","-1.00%"
"Mar 25, 2008","200.76","199.94","200.98","198.91","0.32%"
"Mar 24, 2008","200.11","196.79","200.45","196.78","1.35%"
"Mar 21, 2008","197.45","197.23","198.04","196.55","0.10%"
"Mar 20, 2008","197.25","195.44","198.36","195.08","0.90%"
"Mar 19, 2008","195.50","200.73","201.86","195.44","-2.43%"
"Mar 18, 2008","200.36","194.39","200.69","193.48","2.75%"
"Mar 17, 2008","195.00","198.95","199.85","192.48","-2.51%"
"Mar 14, 2008","200.03","204.29","205.17","199.82","-2.08%"
"Mar 13, 2008","204.28","205.38","206.15","202.92","-0.76%"
"Mar 12, 2008","205.85","207.59","208.02","205.71","-0.77%"
"Mar 11, 2008","207.45","204.22","207.73","203.54","1.48%"
"Mar 10, 2008","204.43","206.70","206.88","204.24","-1.27%"
"Mar 07, 2008","207.05","206.32","208.00","204.80","0.35%"
"Mar 06, 2008","206.32","207.23","207.64","205.82","-0.48%"
"Mar 05, 2008","207.31","205.20","207.78","204.38","1.02%"
"Mar 04, 2008","205.21","205.12","205.74","203.64","0.10%"
"Mar 03, 2008","205.01","205.94","206.13","203.43","-0.66%"
"Feb 29, 2008","206.37","209.55","209.71","205.89","-1.63%"
"Feb 28, 2008","209.80","210.83","211.32","209.46","-0.48%"
"Feb 27, 2008","210.82","213.02","213.54","210.64","-1.08%"
"Feb 26, 2008","213.13","212.57","213.26","211.78","0.23%"
"Feb 25, 2008","212.65","211.37","212.92","210.42","0.82%"
"Feb 22, 2008","210.93","210.78","211.55","209.96","0.11%"
"Feb 21, 2008","210.69","209.95","212.01","209.64","0.33%"
"Feb 20, 2008","209.99","209.84","210.95","209.01","0.04%"
"Feb 19, 2008","209.90","211.32","211.42","208.71","-0.65%"
"Feb 18, 2008","211.28","211.06","211.84","210.51","-0.04%"
"Feb 15, 2008","211.37","212.27","213.34","210.27","-0.50%"
"Feb 14, 2008","212.44","212.58","213.91","211.85","-0.11%"
